Volcano Name,Volcano Code
Abu,ABU
Acamarachi,ACM
Acatenango,ACA
Acigöl-Nevsehir,ACN
Adams,ADM
Adams Seamount,ADS
Adatara,ADA
Adwa,ADW
Afderà,AFD
Agrigan,AGR
Agua,AGA
Agua de Pau,AGP
Aguilera,AGI
Agung,AGU
Ahyi,AHY
Akademia Nauk,AAN
Akagi,AKA
Akan,AKN
Akhtang,AKH
Akita-Komaga-take,AKK
Akita-Yake-yama,AKY
Akuseki-jima,AKU
Akutan,AKT
Alaid,ALD
Alamagan,ALM
Alayta,ALA
Alban Hills,ALH
Alcedo,ALE
Ale Bagu,ALB
Alid,ALI
Aliso,ALS
Alligator Lake,ALL
Almolonga,ALO
Alney-Chashakondzha,ALC
Alngey,ALN
Alu,ALU
Aluchin Group,ALG
Alutu,ALT
Amak,AMK
Amasing,AMS
"Amayo, Volcán",AMV
Ambalatungan Group,AMG
Ambang,AMA
Ambitle,AMT
Amboy   ,AMY
Ambre-Bobaomby,AMB
Ambrym,AMR
Amiata,AMI
Amorong,AMO
Amsterdam Island,ASI
Amukta,AMU
"Anallajsi, Nevado",ANN
Anatahan,ANA
Anaun,ANU
Andahua-Orcopampa,ANO
Andrus,AND
Aneityum,ANE
Aniakchak,ANI
Anjuisky,ANJ
Ankaizina Field,ANF
Ankaratra Field,AKF
Antillanca Group,ANG
Antipodes Island,ATI
Antisana,ANT
Antofagasta de la Sierra,ANS
Antuco,ANC
Aoba,AOB
Aoga-shima,AOG
Apagado,APA
Apaneca Range,APR
Apastepeque Field,APF
Apo,APO
Apoyeque,APY
Aracar,ARC
Öraefajökull,ÖRA
Aragats,ARG
"Aramuaca, Laguna",ARL
Ararat,ARA
Arayat,ARY
Ardoukôba,ARD
Arenal,ARE
Arenales,ARN
"Arhab, Harra of",ARH
Arintica,ARI
Arjuno-Welirang,ARW
Arshan,ARS
Asacha,ASC
Asama,ASA1
Asavyo,ASA
Ascensión,ASE
Askja,ASK
Asmara,ASM
Aso,ASO
Assab Volc Field,AVF
Asuncion,ASU
Atacazo,ATA
Atakor Volc Field,AVT
Atitlán,ATT
Atka,ATK
Atlin Volc Field,AVL
"Atlixcos, Los",ATL
Atosanupuri,ATO
"Atuel, Caldera del",ATC
Aucanquilcha,AUA
